"country","CO2","UNNC","UCAC","GCCP","OR","DGCC","DOCC"
"Sudan",0.507,7.69,0.5074,119.48,3.80539357893002,0,-0.738962598206361
"Suriname",4.365,102.66,0.1181,92.93,5.97358427767989,0,0.245337578483803
"Sweden",4.222,72.37,0.2552,62.16,0,0.00793610242968307,0.356044730843899
"Switzerland",4.324,105.23,0.0497,104.53,0,0.0400262658267505,0.243216852687882
"Tajikistan",1.001,7.66,0.1139,111.37,0.0912831393197168,0.000773066652799108,-0.772820739822106
"Thailand",3.978,68.87,0.317,105.08,0.714559342432267,0.074920378566162,-0.00234926279702874
"Togo",0.29,7.34,0.3575,101.22,0,0,-0.807956924676678
"Tonga",1.349,2.05,0.3004,96.94,0,0,-0.464434842159577
"Trinidad and Tobago",29.122,138.3,0.0338,103.76,4.01249310175546,1.52392483793111,0.415502013572696
"Tunisia",2.539,17.35,0.4281,115.29,1.82340394259015,0.0435799746602199,-0.498822713715947
"Turkmenistan",12.04,190.72,0.3418,88.95,9.57305645249406,0.650127215941034,0.239543408150502
"Uganda",0.129,1.23,0.213,93.68,0,0,-0.844099496611519
"Ukraine",5.244,41.62,0.7628,112.41,0.37233645588712,0.067308531572419,-0.644923125231274
"United Arab Emirates",16.011,185.28,0.0085,96.77,16.582761616989,0.732480446153439,3.12497402511802
"Uruguay",1.905,78.95,0.6351,64.7,0,0.00154203489359385,-0.25707974741164
"Uzbekistan",3.533,163.27,0.136,85.26,1.82646056604276,0.123132581811927,-0.753869496007176
"Zambia",0.422,38.58,0.2211,107.42,0,0,-0.805849317513353
"Zimbabwe",0.821,12.22,0.284,127.59,0,0,-0.788907722266939
