Time,Time Code,Country Name,Country Code,Agricultural land (% of land area) [AG.LND.AGRI.ZS],Electricity net consumption [CC.ELEC.CON],Electricity net generation [CC.ELEC.GEN],Emission Totals - Direct emissions (N2O) - AFOLU [CC.DEN.AFO],Emission Totals - Emissions (CH4) - AFOLU [CC.ECH.AFO],Coal rents (% of GDP) [NY.GDP.COAL.RT.ZS],GDP per capita (current US$) [NY.GDP.PCAP.CD],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS],Mineral rents (% of GDP) [NY.GDP.MINR.RT.ZS],Passenger volume by mode (billion tons-km) - Air transport [CC.PSVOL.MOD.AI],Passenger volume by mode (billion tons-km) - Rail transport [CC.PSVOL.MOD.RA],Passenger volume by mode (billion tons-km) - Road transport [CC.PSVOL.MOD.RO],Per capita daily coal consumption (short tons per capita per day) [CC.EG.CONS.COAL.PC],Per capita daily gas consumption (thousand cubic feet per capita per day) [CC.EG.CONS.GAS.PC],Per capita daily oil consumption (barrels per capita per day) [CC.EG.CONS.OIL.PC],Share of surface occupied by forest (% of total) [AG.LND.FRST.ZS]
2018,YR2018,"Hong Kong SAR, China",HKG,4.76190476190476,44.735,34.37,0.1861,1.0831,0,48537.5668888343,0,0,158403729090,2533580487.8974,79123051455.917,0,0.0423512034975539,0.0576436378664877,..
2018,YR2018,Hungary,HUN,58.031996493535,41.39752,30.40652,10.8002,101.1723,0.0122203580686245,16427.3727611478,0.148704729448611,2.74661050882677E-05,45225202520,7769560000,82606610000,0.00243997956369184,0.0992691968589523,0.0183406718016474,22.5281612973921
2018,YR2018,Iceland,ISL,18.565903005058,19.140706,19.69488,0.4228,12.2499,0,74469.8040591559,0,0,24228765676.6675,1000246001.97988,7984000000,0,0,0.0656656252392117,0.496280868789051
2018,YR2018,India,IND,60.2435646561437,1265.005,1539.009,557.7906,20097.5882,1.15628298147402,1998.25907627675,0.454587640647553,0.427259531748115,221193698478.363,754212257073.874,2348298927815.54,0.00147726255294823,0.00408006746360781,0.00352314098795851,24.0910268095884
2018,YR2018,Indonesia,IDN,33.1820876379946,249.04227,269.49438,120.6192,5544.8499,1.0686504902169,3893.85957814877,1.175772264993,0.587901991633517,123533541629.999,611785499754.231,236758122559.713,0.00618958891261716,0.0169879378351419,0.00637307328522896,49.7168177792076
2018,YR2018,"Iran, Islamic Rep.",IRN,28.9152542372881,254.99121,291.55121,36.6075,651.4928,0.0117288687399183,4046.34186351162,31.1725618793572,0.868980153977087,27243266154.0966,2872133793.56144,356005650153.019,6.07695446073705E-05,0.246569118853571,0.0222706392933745,6.61142064714946
2018,YR2018,Iraq,IRQ,21.307079939557,43.97096,77.64996,8.8552,136.5169,0,5915.85085369644,44.3055358892491,0,2072890512.6,7078328.97909,123747302130.857,0,0.0363743322053249,0.0250000420579482,1.90036118379833
2018,YR2018,Ireland,IRL,65.5537813906227,27.147377,29.40994,14.8827,573.9632,0,79107.6049934367,0,0.0309163361369082,224622979353,2281000000,45509487526.6072,0,0.107682861462159,0.032733294489201,11.2355929743069
2018,YR2018,Isle of Man,IMN,70.7017543859649,..,..,..,0,..,89112.6677158571,..,0,..,439199019.11184,680461001.24248,..,..,..,6.07017543859649
2018,YR2018,Israel,ISR,29.6349353049908,56.339606,64.71652,2.4874,24.5498,0,42063.4531274811,0.0103026883373587,0.0384286166761386,23917538000,1638000000,41075712574.6539,0,0.0996995392974324,0.0261228256855946,6.46950092421442
